element_index,conductivity,sensitivity,is_high
0,500.0,-5.877949841856206,1
1,500.0,-5.433240671084654,1
2,500.0,-5.940674273494222,1
3,500.0,-5.942676020941422,1
4,500.0,-5.972208722475155,1
5,500.0,-6.015579421382727,1
6,500.0,-5.944102207645622,1
7,500.0,-5.910063299321652,1
8,500.0,-6.004994775146522,1
9,500.0,-5.854372757998526,1
10,500.0,-5.81132280457818,1
11,500.0,-5.826945958068374,1
12,500.0,-5.787727399671362,1
13,500.0,-5.803259574153019,1
14,1000.0,-6.118302557374415,0
15,500.0,-5.780391206933075,1
16,500.0,-5.975194723744713,1
17,500.0,-6.228467436902485,1
18,500.0,-6.185776601427095,1
19,500.0,-5.899585546331823,1
20,500.0,-5.556896562077946,1
21,500.0,-5.833316981381733,1
22,500.0,-5.829288589508374,1
23,500.0,-6.032028665893012,1
24,1000.0,-6.10048562599181,0
25,500.0,-5.970284261110489,1
26,500.0,-5.976308879204773,1
27,500.0,-5.931974672065241,1
28,500.0,-5.9168835767346595,1
29,500.0,-5.960621238138725,1
30,500.0,-5.274607482171286,1
31,500.0,-6.086981478098932,1
32,500.0,-5.891049112992483,1
33,500.0,-5.4465709145875305,1
34,500.0,-5.565308907206452,1
35,500.0,-5.9277772065674705,1
36,500.0,-5.95123058485052,1
37,500.0,-6.001768948555514,1
38,500.0,-5.273325202444651,1
39,500.0,-6.83493152682211,1
40,500.0,-5.2710415023734045,1
41,500.0,-5.902555321290568,1
42,500.0,-5.422442727214408,1
43,500.0,-6.175522685326577,1
44,500.0,-5.851111387121055,1
45,500.0,-5.876918865509102,1
46,500.0,-5.867052961341507,1
47,500.0,-5.8339704914335115,1
48,500.0,-5.465674976006388,1
49,500.0,-5.896307967398539,1
50,500.0,-5.771741088218783,1
51,500.0,-5.670262145171338,1
52,500.0,-5.315971327077638,1
53,500.0,-5.522480173596164,1
54,500.0,-5.717542839047136,1
55,500.0,-6.339405536014143,1
56,500.0,-5.881234785292596,1
57,500.0,-5.677817143002036,1
58,500.0,-5.615388708308639,1
59,500.0,-5.788595676306485,1
60,500.0,-5.852483052818046,1
61,500.0,-5.695211768891439,1
62,500.0,-5.763545309499857,1
