iteration,best_score,current_score
1,-4.440066164680577,-4.440066164680577
2,-4.440066164680577,-4.440066164680577
3,-4.440066164680577,-4.440066164680577
4,-4.440066164680577,-4.440066164680577
5,-4.440564196785464,-4.440564196785464
6,-4.444791226663456,-4.444791226663456
7,-4.444791226663456,-4.444791226663456
8,-4.444791226663456,-4.444791226663456
9,-4.444791226663456,-4.444791226663456
10,-4.444791226663456,-4.444791226663456
11,-4.444791226663456,-4.444791226663456
12,-4.444791226663456,-4.444791226663456
13,-4.444791226663456,-4.444791226663456
14,-4.444791226663456,-4.444791226663456
15,-4.444791226663456,-4.444791226663456
16,-4.444791226663456,-4.444791226663456
17,-4.444791226663456,-4.444791226663456
18,-4.444791226663456,-4.444791226663456
19,-4.444791226663456,-4.444791226663456
20,-4.444791226663456,-4.444791226663456
