element_index,conductivity,sensitivity,is_high
0,500.0,0.0,0
1,500.0,0.0,0
2,1000.0,0.0,1
3,500.0,0.0,0
4,1000.0,0.0,1
5,500.0,0.0,0
6,1000.0,0.0,1
7,500.0,0.0,0
8,1000.0,0.0,1
9,1000.0,0.0,1
10,1000.0,0.0,1
11,1000.0,0.0,1
12,500.0,0.0,0
13,1000.0,0.0,1
14,500.0,0.0,0
15,500.0,0.0,0
16,500.0,0.0,0
17,1000.0,0.0,1
18,500.0,0.0,0
19,500.0,0.0,0
20,500.0,0.0,0
21,1000.0,0.0,1
22,1000.0,0.0,1
23,1000.0,0.0,1
24,1000.0,0.0,1
25,500.0,0.0,0
26,1000.0,0.0,1
27,500.0,0.0,0
28,1000.0,0.0,1
29,1000.0,0.0,1
30,1000.0,0.0,1
31,1000.0,0.0,1
32,500.0,0.0,0
33,500.0,0.0,0
34,500.0,0.0,0
35,1000.0,0.0,1
36,500.0,0.0,0
37,1000.0,0.0,1
38,1000.0,0.0,1
39,1000.0,0.0,1
40,1000.0,0.0,1
41,500.0,0.0,0
42,1000.0,0.0,1
43,500.0,0.0,0
44,500.0,0.0,0
45,500.0,0.0,0
46,1000.0,0.0,1
47,1000.0,0.0,1
48,500.0,0.0,0
49,1000.0,0.0,1
50,500.0,0.0,0
51,500.0,0.0,0
52,500.0,0.0,0
53,1000.0,0.0,1
54,1000.0,0.0,1
55,500.0,0.0,0
56,1000.0,0.0,1
57,1000.0,0.0,1
58,1000.0,0.0,1
59,500.0,0.0,0
60,1000.0,0.0,1
61,500.0,0.0,0
62,500.0,0.0,0
63,500.0,0.0,0
64,1000.0,0.0,1
65,1000.0,0.0,1
66,1000.0,0.0,1
67,1000.0,0.0,1
68,500.0,0.0,0
69,500.0,0.0,0
70,500.0,0.0,0
71,1000.0,0.0,1
72,1000.0,0.0,1
73,1000.0,0.0,1
74,1000.0,0.0,1
75,1000.0,0.0,1
76,500.0,0.0,0
77,500.0,0.0,0
78,500.0,0.0,0
79,500.0,0.0,0
80,1000.0,0.0,1
81,1000.0,0.0,1
82,500.0,0.0,0
83,1000.0,0.0,1
84,500.0,0.0,0
85,1000.0,0.0,1
86,500.0,0.0,0
87,1000.0,0.0,1
88,1000.0,0.0,1
89,1000.0,0.0,1
90,1000.0,0.0,1
91,1000.0,0.0,1
92,1000.0,0.0,1
93,1000.0,0.0,1
94,500.0,0.0,0
95,500.0,0.0,0
96,500.0,0.0,0
97,500.0,0.0,0
98,500.0,0.0,0
99,500.0,0.0,0
100,500.0,0.0,0
101,1000.0,0.0,1
102,1000.0,0.0,1
103,1000.0,0.0,1
104,1000.0,0.0,1
105,500.0,0.0,0
106,1000.0,0.0,1
107,1000.0,0.0,1
108,500.0,0.0,0
109,500.0,0.0,0
110,500.0,0.0,0
111,500.0,0.0,0
112,1000.0,0.0,1
113,500.0,0.0,0
114,1000.0,0.0,1
115,500.0,0.0,0
116,1000.0,0.0,1
117,1000.0,0.0,1
118,1000.0,0.0,1
119,1000.0,0.0,1
120,500.0,0.0,0
121,1000.0,0.0,1
122,1000.0,0.0,1
123,500.0,0.0,0
124,500.0,0.0,0
125,1000.0,0.0,1
126,1000.0,0.0,1
127,500.0,0.0,0
128,500.0,0.0,0
129,1000.0,0.0,1
130,1000.0,0.0,1
131,1000.0,0.0,1
132,500.0,0.0,0
133,1000.0,0.0,1
134,1000.0,0.0,1
135,500.0,0.0,0
136,500.0,0.0,0
137,1000.0,0.0,1
138,500.0,0.0,0
139,500.0,0.0,0
140,500.0,0.0,0
141,1000.0,0.0,1
142,500.0,0.0,0
143,1000.0,0.0,1
144,1000.0,0.0,1
145,500.0,0.0,0
146,1000.0,0.0,1
147,500.0,0.0,0
148,1000.0,0.0,1
149,500.0,0.0,0
150,1000.0,0.0,1
151,500.0,0.0,0
152,1000.0,0.0,1
153,1000.0,0.0,1
154,1000.0,0.0,1
155,1000.0,0.0,1
156,1000.0,0.0,1
157,1000.0,0.0,1
158,500.0,0.0,0
159,1000.0,0.0,1
160,500.0,0.0,0
161,1000.0,0.0,1
162,1000.0,0.0,1
163,1000.0,0.0,1
164,1000.0,0.0,1
165,500.0,0.0,0
166,500.0,0.0,0
167,1000.0,0.0,1
168,500.0,0.0,0
169,500.0,0.0,0
170,500.0,0.0,0
171,500.0,0.0,0
172,1000.0,0.0,1
173,1000.0,0.0,1
174,500.0,0.0,0
175,500.0,0.0,0
176,1000.0,0.0,1
177,500.0,0.0,0
178,1000.0,0.0,1
179,500.0,0.0,0
180,500.0,0.0,0
181,500.0,0.0,0
182,1000.0,0.0,1
183,500.0,0.0,0
184,1000.0,0.0,1
185,1000.0,0.0,1
186,1000.0,0.0,1
187,500.0,0.0,0
188,500.0,0.0,0
189,500.0,0.0,0
190,500.0,0.0,0
191,1000.0,0.0,1
192,500.0,0.0,0
193,1000.0,0.0,1
194,1000.0,0.0,1
195,1000.0,0.0,1
196,500.0,0.0,0
197,1000.0,0.0,1
198,500.0,0.0,0
199,500.0,0.0,0
200,500.0,0.0,0
201,1000.0,0.0,1
202,1000.0,0.0,1
203,1000.0,0.0,1
204,500.0,0.0,0
205,500.0,0.0,0
206,500.0,0.0,0
207,500.0,0.0,0
208,1000.0,0.0,1
209,1000.0,0.0,1
210,1000.0,0.0,1
211,500.0,0.0,0
212,500.0,0.0,0
213,1000.0,0.0,1
214,1000.0,0.0,1
215,1000.0,0.0,1
216,500.0,0.0,0
217,1000.0,0.0,1
218,1000.0,0.0,1
219,500.0,0.0,0
220,500.0,0.0,0
221,1000.0,0.0,1
222,1000.0,0.0,1
223,1000.0,0.0,1
224,1000.0,0.0,1
225,1000.0,0.0,1
226,1000.0,0.0,1
227,1000.0,0.0,1
228,1000.0,0.0,1
229,1000.0,0.0,1
230,500.0,0.0,0
231,500.0,0.0,0
232,500.0,0.0,0
233,1000.0,0.0,1
234,1000.0,0.0,1
235,500.0,0.0,0
236,1000.0,0.0,1
237,500.0,0.0,0
238,1000.0,0.0,1
239,500.0,0.0,0
240,500.0,0.0,0
241,1000.0,0.0,1
242,500.0,0.0,0
243,1000.0,0.0,1
244,1000.0,0.0,1
245,1000.0,0.0,1
246,500.0,0.0,0
247,1000.0,0.0,1
248,1000.0,0.0,1
249,500.0,0.0,0
250,1000.0,0.0,1
251,1000.0,0.0,1
252,1000.0,0.0,1
253,1000.0,0.0,1
254,1000.0,0.0,1
255,1000.0,0.0,1
256,1000.0,0.0,1
257,1000.0,0.0,1
258,1000.0,0.0,1
259,500.0,0.0,0
260,1000.0,0.0,1
261,500.0,0.0,0
262,500.0,0.0,0
263,500.0,0.0,0
264,1000.0,0.0,1
265,500.0,0.0,0
266,1000.0,0.0,1
267,1000.0,0.0,1
268,500.0,0.0,0
269,500.0,0.0,0
270,1000.0,0.0,1
271,1000.0,0.0,1
272,500.0,0.0,0
273,1000.0,0.0,1
274,1000.0,0.0,1
275,1000.0,0.0,1
276,1000.0,0.0,1
277,1000.0,0.0,1
278,500.0,0.0,0
279,500.0,0.0,0
280,500.0,0.0,0
281,500.0,0.0,0
282,1000.0,0.0,1
283,1000.0,0.0,1
284,1000.0,0.0,1
285,1000.0,0.0,1
286,1000.0,0.0,1
287,1000.0,0.0,1
288,1000.0,0.0,1
289,1000.0,0.0,1
290,500.0,0.0,0
291,500.0,0.0,0
292,500.0,0.0,0
293,1000.0,0.0,1
294,500.0,0.0,0
295,1000.0,0.0,1
296,500.0,0.0,0
297,500.0,0.0,0
298,500.0,0.0,0
299,1000.0,0.0,1
300,500.0,0.0,0
301,1000.0,0.0,1
302,1000.0,0.0,1
303,1000.0,0.0,1
304,500.0,0.0,0
305,1000.0,0.0,1
306,500.0,0.0,0
307,500.0,0.0,0
308,1000.0,0.0,1
309,1000.0,0.0,1
310,1000.0,0.0,1
311,1000.0,0.0,1
312,500.0,0.0,0
313,1000.0,0.0,1
314,1000.0,0.0,1
315,500.0,0.0,0
316,500.0,0.0,0
317,1000.0,0.0,1
318,500.0,0.0,0
319,1000.0,0.0,1
320,500.0,0.0,0
321,500.0,0.0,0
322,1000.0,0.0,1
323,500.0,0.0,0
324,500.0,0.0,0
325,500.0,0.0,0
326,500.0,0.0,0
327,500.0,0.0,0
328,500.0,0.0,0
329,1000.0,0.0,1
330,500.0,0.0,0
331,1000.0,0.0,1
332,500.0,0.0,0
333,500.0,0.0,0
334,500.0,0.0,0
335,1000.0,0.0,1
336,500.0,0.0,0
337,500.0,0.0,0
338,1000.0,0.0,1
339,1000.0,0.0,1
340,1000.0,0.0,1
341,1000.0,0.0,1
342,500.0,0.0,0
343,1000.0,0.0,1
344,500.0,0.0,0
345,1000.0,0.0,1
