element_index,conductivity,sensitivity,is_high
0,1000.0,-7.495662746012722,0
1,1000.0,-7.58376900171682,0
2,1000.0,-7.509524227264763,0
3,1000.0,-7.367035770526511,0
4,1000.0,-7.459067421772422,0
5,1000.0,-7.054773500574421,0
6,1000.0,-8.401015852501658,0
7,1000.0,-8.051569609659635,0
8,1000.0,-8.490524666946621,0
9,1000.0,-7.799122634292188,0
10,1000.0,-7.178611705726602,0
11,1000.0,-7.433912025269718,0
12,1000.0,-7.448693122995531,0
13,1000.0,-7.638515311117551,0
14,1000.0,-7.671491659063158,0
15,1000.0,-7.575023293886675,0
16,1000.0,-7.525343681718522,0
17,1000.0,-7.600073826976484,0
18,1000.0,-7.3193198283274015,0
19,1000.0,-7.950538335983718,0
20,1000.0,-7.904220230400727,0
21,1000.0,-7.507130965752685,0
22,1000.0,-7.459588798514669,0
23,1000.0,-7.151028507874926,0
24,1000.0,-7.1752064286737705,0
25,1000.0,-7.497209613879395,0
26,1000.0,-7.76794027258311,0
27,1000.0,-7.633353220515855,0
28,1000.0,-7.416145198350048,0
29,1000.0,-7.1576983316612655,0
30,1000.0,-7.0753411638084485,0
31,1000.0,-7.309225867267267,0
32,1000.0,-7.303515366244317,0
33,1000.0,-7.353220012917971,0
34,1000.0,-7.419850579673537,0
35,1000.0,-7.467983930947173,0
36,1000.0,-7.398433372347841,0
37,1000.0,-7.913707877206336,0
38,1000.0,-7.5326039273151455,0
39,1000.0,-8.791044018125353,0
40,1000.0,-8.710974420571192,0
41,1000.0,-7.842865941040249,0
42,1000.0,-7.93770597884751,0
43,1000.0,-7.906288539171054,0
44,1000.0,-8.150466157058359,0
45,1000.0,-7.649568412067257,0
46,1000.0,-7.655321690960709,0
47,1000.0,-6.756881836218349,0
48,1000.0,-7.273422860940757,0
49,1000.0,-7.623304227616365,0
50,1000.0,-7.325546943185514,0
51,1000.0,-7.103524081319435,0
52,1000.0,-7.661820531171177,0
53,1000.0,-6.956419762732308,0
54,1000.0,-7.471661009931797,0
55,1000.0,-7.124556060914264,0
56,1000.0,-7.083802904372645,0
57,1000.0,-7.396877756067751,0
58,1000.0,-7.563148831985601,0
59,1000.0,-7.523240998904747,0
60,1000.0,-7.607618794611259,0
61,1000.0,-7.40183899034019,0
