element_index,conductivity,sensitivity,is_high
0,500.0,1.1469121543914569e-07,0
1,500.0,1.0286760038220974e-07,0
2,1000.0,6.143161537355066e-08,1
3,1000.0,5.3374131121911716e-08,1
4,500.0,1.8015935970794405e-07,0
5,1000.0,1.192175027061131e-07,1
6,1000.0,5.381476228037696e-09,1
7,1000.0,1.2051241782953411e-08,1
8,1000.0,4.342993046858315e-09,1
9,1000.0,2.1727712684132727e-08,1
10,1000.0,1.109137032703107e-07,1
11,500.0,8.234391628279849e-08,0
12,500.0,1.0020973388909186e-07,0
13,500.0,1.5629173677062894e-07,0
14,1000.0,2.6442925599866053e-08,1
15,1000.0,4.0516962816196196e-08,1
16,1000.0,4.4708402758659414e-08,1
17,1000.0,4.295983291290837e-08,1
18,500.0,1.1103685648861652e-07,0
19,1000.0,1.5057250901189164e-08,1
20,1000.0,1.68739536088761e-08,1
21,500.0,6.977918106318527e-08,0
22,500.0,6.90341048673553e-08,0
23,1000.0,1.0315943117592937e-07,1
24,1000.0,9.379219809048733e-08,1
25,1000.0,4.362904615531781e-08,1
26,1000.0,2.327126000459979e-08,1
27,1000.0,3.1848616729508654e-08,1
28,500.0,1.043648819347711e-07,0
29,1000.0,1.0832368535179232e-07,1
30,1000.0,1.3249981363629429e-07,1
31,500.0,1.9121046093893195e-07,0
32,1000.0,7.201827401615417e-08,1
33,500.0,1.267853769520022e-07,0
34,500.0,1.7776441070021332e-07,0
35,500.0,1.7119877777086553e-07,0
36,500.0,1.6034427452225445e-07,0
37,1000.0,2.1023043246398052e-08,1
38,1000.0,4.4322234307996056e-08,1
39,1000.0,2.182795546069971e-09,1
40,1000.0,1.4359788631448496e-09,1
41,1000.0,2.7441918340054548e-08,1
42,1000.0,2.6152688104202697e-08,1
43,1000.0,1.0825360986367905e-08,1
44,1000.0,1.3415650843434025e-08,1
45,500.0,5.548440975956718e-08,0
46,500.0,5.5328383147063995e-08,0
47,1000.0,2.3293516471251326e-07,1
48,1000.0,7.35866784981512e-08,1
49,500.0,4.698029174561584e-08,0
50,1000.0,6.474042048282523e-08,1
51,1000.0,1.7234404349852285e-07,1
52,500.0,7.187248760575269e-08,0
53,1000.0,1.6754918890892708e-07,1
54,1000.0,6.008650110708837e-08,1
55,1000.0,1.233893224437643e-07,1
56,1000.0,1.3619013555786124e-07,1
57,1000.0,6.6045122468385e-08,1
58,500.0,6.363817520067632e-08,0
59,500.0,6.68394055054668e-08,0
60,500.0,5.7754066917750587e-08,0
61,1000.0,7.237239885408981e-08,1
62,1000.0,6.09152937391091e-08,1
63,1000.0,1.1057621443057387e-07,1
64,1000.0,1.1449529596632183e-07,1
65,500.0,1.4815637161272925e-07,0
66,1000.0,1.4403428475166342e-07,1
67,1000.0,1.2407374396072515e-07,1
68,1000.0,1.8460519355022568e-07,1
69,1000.0,1.2902420919135175e-07,1
70,1000.0,1.3378619478343347e-07,1
71,1000.0,1.6204404116065566e-07,1
72,1000.0,6.847593772396973e-08,1
73,1000.0,4.632687545450461e-08,1
74,1000.0,4.661377634836217e-08,1
75,1000.0,9.617607660515943e-08,1
76,1000.0,1.4526671111729576e-07,1
77,1000.0,2.87771279680718e-07,1
78,1000.0,9.469476538998025e-08,1
79,1000.0,2.699259958360011e-07,1
80,500.0,5.854389005696822e-08,0
81,500.0,6.203414233012577e-08,0
82,500.0,6.420821192422721e-08,0
83,1000.0,3.338741217185504e-08,1
84,1000.0,7.372730473770512e-08,1
85,1000.0,3.336620590734764e-08,1
86,1000.0,2.683992162061925e-08,1
87,500.0,1.1185246748185092e-07,0
88,1000.0,1.1070500464997962e-07,1
89,1000.0,1.1178276644574766e-07,1
90,500.0,1.0916702733224975e-07,0
91,500.0,1.1066712630946673e-07,0
92,500.0,8.137322212403405e-08,0
93,500.0,1.1114009395251308e-07,0
94,500.0,1.0450350374001987e-07,0
95,500.0,9.321863502999458e-08,0
96,500.0,9.254500954841202e-08,0
97,1000.0,1.0814497419366813e-07,1
98,1000.0,1.1576037997678915e-07,1
99,1000.0,1.184805700558501e-07,1
100,1000.0,1.1305405669333562e-07,1
101,1000.0,9.541784298900357e-08,1
102,1000.0,9.806336187818774e-08,1
103,1000.0,9.070755237503495e-08,1
104,1000.0,6.810408874564122e-08,1
105,1000.0,6.118624783247913e-08,1
106,1000.0,6.107868225667447e-08,1
107,500.0,1.0405341811578791e-07,0
108,1000.0,1.046134426700393e-07,1
109,1000.0,6.749339286605013e-08,1
110,1000.0,7.547554286479138e-08,1
111,1000.0,5.7281285514805996e-08,1
112,1000.0,5.921040069207762e-08,1
113,1000.0,7.043850032393315e-08,1
114,1000.0,5.506714162410544e-08,1
115,1000.0,4.088018383318944e-08,1
116,500.0,1.2379359402777295e-07,0
117,500.0,1.2643322910155355e-07,0
118,500.0,1.3885102231665607e-07,0
119,500.0,6.316023619922552e-08,0
120,1000.0,5.783998591586285e-08,1
121,1000.0,4.370759110534259e-08,1
122,1000.0,6.721217684419869e-08,1
123,500.0,9.076327074106737e-08,0
124,1000.0,4.973114058968347e-08,1
125,1000.0,4.147001446807156e-08,1
126,1000.0,3.232356077680198e-08,1
127,1000.0,4.648176086980078e-08,1
128,1000.0,1.8618842314511865e-08,1
129,500.0,3.645071551227516e-08,0
130,1000.0,3.541079344118716e-08,1
131,500.0,4.9456704192695247e-08,0
132,500.0,5.5688231064289145e-08,0
133,500.0,5.5465469470248024e-08,0
134,500.0,6.025569504058443e-08,0
135,500.0,6.775357802168718e-08,0
136,500.0,6.251086441023809e-08,0
137,1000.0,3.723963774001606e-08,1
138,1000.0,4.3294824569610687e-08,1
139,1000.0,5.873625588894707e-08,1
140,1000.0,7.443159672794393e-08,1
141,1000.0,8.013304077418665e-08,1
142,1000.0,4.4118379359761095e-08,1
143,1000.0,7.43389651181244e-08,1
144,1000.0,3.194426737961855e-09,1
145,1000.0,4.438956606018007e-09,1
146,1000.0,2.001000566213993e-08,1
147,1000.0,1.3401025342563877e-08,1
148,500.0,5.5230317102340675e-08,0
149,1000.0,1.6050461984369158e-07,1
150,1000.0,1.3534847215279587e-07,1
151,500.0,1.6396532232523567e-07,0
152,500.0,2.1484175120715113e-07,0
153,500.0,1.9327225703037015e-07,0
154,500.0,1.2737526543502032e-07,0
155,500.0,9.10637625922405e-08,0
156,500.0,4.935324042852898e-08,0
