element_index,conductivity,sensitivity,is_high
0,1000.0,0.0,0
1,500.0,0.0,1
2,500.0,0.0,1
3,500.0,0.0,1
4,1000.0,0.0,0
5,1000.0,0.0,0
6,1000.0,0.0,0
7,500.0,0.0,1
8,500.0,0.0,1
9,1000.0,0.0,0
10,500.0,0.0,1
11,1000.0,0.0,0
12,500.0,0.0,1
13,1000.0,0.0,0
14,1000.0,0.0,0
15,500.0,0.0,1
16,1000.0,0.0,0
17,500.0,0.0,1
18,500.0,0.0,1
19,500.0,0.0,1
20,500.0,0.0,1
21,500.0,0.0,1
22,500.0,0.0,1
23,1000.0,0.0,0
24,500.0,0.0,1
25,500.0,0.0,1
26,1000.0,0.0,0
27,1000.0,0.0,0
28,500.0,0.0,1
29,500.0,0.0,1
30,500.0,0.0,1
31,1000.0,0.0,0
32,500.0,0.0,1
33,1000.0,0.0,0
34,1000.0,0.0,0
35,500.0,0.0,1
36,500.0,0.0,1
37,1000.0,0.0,0
38,1000.0,0.0,0
39,500.0,0.0,1
40,500.0,0.0,1
41,1000.0,0.0,0
42,1000.0,0.0,0
43,500.0,0.0,1
44,1000.0,0.0,0
45,500.0,0.0,1
46,1000.0,0.0,0
47,500.0,0.0,1
48,1000.0,0.0,0
49,500.0,0.0,1
50,500.0,0.0,1
51,500.0,0.0,1
52,500.0,0.0,1
53,500.0,0.0,1
54,1000.0,0.0,0
55,1000.0,0.0,0
56,500.0,0.0,1
57,500.0,0.0,1
58,500.0,0.0,1
59,500.0,0.0,1
60,500.0,0.0,1
61,500.0,0.0,1
62,1000.0,0.0,0
63,500.0,0.0,1
64,500.0,0.0,1
65,1000.0,0.0,0
66,500.0,0.0,1
67,500.0,0.0,1
68,1000.0,0.0,0
69,500.0,0.0,1
70,500.0,0.0,1
71,1000.0,0.0,0
72,1000.0,0.0,0
73,1000.0,0.0,0
74,500.0,0.0,1
75,500.0,0.0,1
76,1000.0,0.0,0
77,500.0,0.0,1
78,500.0,0.0,1
79,500.0,0.0,1
80,500.0,0.0,1
81,500.0,0.0,1
82,1000.0,0.0,0
83,500.0,0.0,1
84,1000.0,0.0,0
85,500.0,0.0,1
86,1000.0,0.0,0
87,500.0,0.0,1
88,500.0,0.0,1
89,500.0,0.0,1
90,500.0,0.0,1
91,1000.0,0.0,0
92,1000.0,0.0,0
93,500.0,0.0,1
94,1000.0,0.0,0
95,1000.0,0.0,0
96,500.0,0.0,1
97,1000.0,0.0,0
98,1000.0,0.0,0
99,1000.0,0.0,0
